City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
87,albany,US,42.65,-73.75,1528903860,69.8,68,90,3.36
88,barrow,AR,-38.31,-60.23,1528905182,50.26,72,88,8.21
89,qorveh,IR,35.17,47.8,1528905357,76.72,22,92,3.18
90,san jeronimo,PE,-13.65,-73.37,1528902000,46.4,81,90,2.39
91,mataura,NZ,-46.19,168.86,1528905299,25.69,79,24,3.18
92,buala,SB,-8.15,159.59,1528905359,78.7,100,64,4.18
93,eyl,SO,7.98,49.82,1528905359,86.62,57,20,22.41
94,abu dhabi,AE,24.47,54.37,1528902000,98.6,29,0,16.11
95,tahe,CN,52.34,124.71,1528905359,51.43,98,92,2.17
96,chuy,UY,-33.69,-53.46,1528905099,52.87,93,80,28.9
97,dzerzhinskoye,RU,56.84,95.22,1528905360,65.11,69,8,3.85
98,vanavara,RU,60.35,102.28,1528905360,64.21,50,0,5.64
99,muros,ES,42.77,-9.06,1528903800,66.2,72,40,10.29
100,auchel,FR,50.51,2.47,1528903800,68,49,0,3.36
101,bubaque,GW,11.28,-15.83,1528902000,91.4,55,40,11.41
102,khatanga,RU,71.98,102.47,1528905361,60.97,65,8,4.63
103,los banos,US,37.06,-120.85,1528904100,75.2,67,1,4.74
104,labuhan,ID,-2.54,115.51,1528905361,72.94,95,12,1.83
105,saint-paul,FR,45.22,1.9,1528903800,68,56,75,14.99
106,petatlan,MX,17.52,-101.27,1528901220,84.2,74,90,1.83
107,baykit,RU,61.68,96.39,1528905366,63.94,68,36,4.29
108,dalby,AU,-27.18,151.26,1528902000,53.6,93,75,2.24
109,yellowknife,CA,62.45,-114.38,1528902540,46.4,93,90,8.05
110,hilo,US,19.71,-155.08,1528901580,66.2,88,75,5.82
111,turukhansk,RU,65.8,87.96,1528905297,66.37,76,36,6.42
112,dingle,PH,11,122.67,1528905368,79.96,82,68,8.21
113,dillon,US,45.22,-112.64,1528901580,57.2,44,1,5.82
114,labytnangi,RU,66.66,66.39,1528905370,47.11,75,64,17.49
115,gigmoto,PH,13.78,124.39,1528905370,83.56,98,36,17.6
116,nouakchott,MR,18.08,-15.98,1528905371,76.72,76,68,1.39
117,rumoi,JP,43.93,141.67,1528905371,44.41,100,92,8.1
118,dikson,RU,73.51,80.55,1528905373,31.09,100,32,13.13
119,chinsali,ZM,-10.55,32.07,1528905377,73.39,36,0,9.22
120,georgetown,GY,6.8,-58.16,1528902000,82.4,78,75,9.17
121,tooele,US,40.53,-112.3,1528902900,73.4,35,1,9.17
122,nikolskoye,RU,59.7,30.79,1528902000,60.8,41,40,4.47
123,bodo,CI,5.91,-4.68,1528905379,87.7,66,80,8.21
124,minador do negrao,BR,-9.31,-36.86,1528905379,76.81,80,32,13.24
125,sambava,MG,-14.27,50.17,1528905379,77.35,100,88,19.73
126,yerbogachen,RU,61.28,108.01,1528905380,64.93,44,0,7.43
127,kahului,US,20.89,-156.47,1528901760,66.2,93,1,3.36
128,clyde river,CA,70.47,-68.59,1528902660,35.6,100,75,21.92
129,ancud,CL,-41.87,-73.83,1528905381,39.1,90,20,2.73
130,beringovskiy,RU,63.05,179.32,1528905381,39.37,88,0,3.4
131,majene,ID,-3.54,118.97,1528905382,81.85,100,32,11.01
132,ahar,IR,38.48,47.07,1528905382,62.77,62,36,3.74
133,ilhabela,BR,-23.78,-45.36,1528905382,72.85,98,80,2.28
134,listvyagi,RU,53.68,86.95,1528905382,65.11,78,0,2.06
135,skjervoy,NO,70.03,20.97,1528903200,44.6,65,40,10.29
136,cape town,ZA,-33.93,18.42,1528902000,73.4,35,0,9.17
137,iqaluit,CA,63.75,-68.52,1528902000,35.6,96,90,20.8
138,fort-shevchenko,KZ,44.51,50.26,1528905387,74.2,59,0,3.62
139,severo-kurilsk,RU,50.68,156.12,1528905387,38.02,100,92,16.26
140,arraial do cabo,BR,-22.97,-42.02,1528905600,80.6,65,0,4.7
141,torbay,CA,47.66,-52.73,1528903560,50,93,90,19.46
142,ahipara,NZ,-35.17,173.16,1528905388,56.65,91,88,9.66
143,bandarbeyla,SO,9.49,50.81,1528905389,79.15,79,0,32.93
144,vuktyl,RU,63.86,57.31,1528905389,52.6,96,92,7.43
145,caravelas,BR,-17.73,-39.27,1528905390,77.62,98,0,10.45
146,waipawa,NZ,-39.94,176.59,1528905390,50.89,94,92,9.44
147,khomutovo,RU,52.85,37.45,1528905390,72.31,65,0,5.97
148,acajutla,SV,13.59,-89.83,1528901400,84.2,79,40,1.12
149,buritis,BR,-15.62,-46.42,1528905391,83.74,53,0,6.87
150,meulaboh,ID,4.14,96.13,1528905392,82.03,100,48,3.4
151,vaini,IN,15.34,74.49,1528905392,70.42,98,100,4.29
152,teya,MX,21.05,-89.07,1528901400,86,66,75,13.87
153,bambous virieux,MU,-20.34,57.76,1528902000,75.2,69,75,14.99
154,zaragoza,ES,41.65,-0.88,1528903800,77,49,20,28.86
155,thompson,CA,55.74,-97.86,1528902600,57.2,76,75,3.36
156,kodiak,US,39.95,-94.76,1528901580,75.2,50,1,13.87
157,nsanje,MZ,-16.92,35.26,1528905397,70.33,84,92,4.18
158,the pas,CA,53.82,-101.24,1528902000,60.8,63,1,10.29
159,masalli,KR,34.8,126.66,1528902000,68,77,12,9.17
160,talnakh,RU,69.49,88.39,1528905398,42.79,100,20,3.18
161,ilulissat,GL,69.22,-51.1,1528901400,32,97,90,4.7
162,vallenar,CL,-28.58,-70.76,1528905399,54.4,56,0,1.28
163,cap-aux-meules,CA,47.38,-61.86,1528902000,51.8,62,40,20.8
164,san quintin,PH,17.54,120.52,1528902000,77,100,90,13.87
165,victoria,BN,5.28,115.24,1528902000,80.6,94,75,1.12
166,okhotsk,RU,59.36,143.24,1528905400,38.02,100,12,2.17
167,bonavista,CA,48.65,-53.11,1528905401,46.57,82,92,22.97
168,manokwari,ID,-0.87,134.08,1528905401,78.07,100,80,8.1
169,lebu,ET,8.96,38.73,1528905404,55.3,100,92,0.72
170,qostanay,KZ,53.17,63.58,1528902000,59,54,75,6.71
171,victor harbor,AU,-35.55,138.62,1528902000,55.4,82,75,17.22
172,kamenka,RU,53.19,44.05,1528905405,61.6,98,12,9.44
173,cherskiy,RU,68.75,161.3,1528905405,55.21,48,8,3.18
174,kimbe,PG,-5.56,150.15,1528905405,78.43,100,92,6.64
175,guba,PH,10.43,123.89,1528902000,84.2,74,75,8.05
