Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemp,WindSpeed
24,AO,1553920834,98,-15.19,12.15,25.524,4.02
92,CA,1553921077,93,60.75,-137.51,-0.17599999999998772,0.92
75,AU,1553920041,73,-42.78,147.06,17.0,8.2
90,UA,1553918400,93,49.42,24.47,8.0,3.67
90,CA,1553920321,78,63.75,-68.52,-13.0,3.1
75,JP,1553921066,66,36.66,137.31,11.670000000000016,4.1
64,RU,1553920849,79,68.75,161.3,-12.975999999999999,1.52
5,MX,1553920534,28,22.89,-109.91,23.0,4.1
0,MX,1553921078,47,23.99,-104.67,12.524000000000001,3.92
0,ZA,1553920834,85,-34.0,24.73,17.824000000000012,5.27
88,BR,1553921078,95,-9.87,-56.08,23.324000000000012,0.97
0,AR,1553921078,46,-40.81,-62.99,19.574000000000012,4.47
1,US,1553920684,79,48.23,-101.3,-2.0,3.1
0,PH,1553920805,44,11.0,122.67,32.32400000000001,5.57
20,ET,1553914800,62,8.96,38.73,14.0,0.5
40,MX,1553917320,64,18.55,-88.26,24.0,5.1
20,PA,1553920234,73,9.52,-79.03,25.0,3.77
90,CA,1553920706,73,62.45,-114.38,-3.0,1.5
92,NZ,1553920685,84,-35.62,174.5,21.110000000000014,5.36
0,MV,1553921080,100,5.67,73.0,29.124000000000024,1.67
92,CO,1553920778,99,3.87,-67.92,22.324000000000012,0.87
8,CV,1553920809,100,14.9,-24.5,20.824000000000012,8.97
40,MZ,1553918400,94,-23.87,35.38,20.0,1.57
24,RU,1553921080,96,49.31,43.06,-1.4259999999999877,2.12
1,CA,1553920812,95,45.36,-73.48,0.0,3.57
0,IT,1553921044,60,41.89,12.48,9.439999999999998,2.1
0,AR,1553920808,79,-38.31,-60.23,19.324000000000012,6.62
80,RU,1553921073,92,67.55,63.78,-0.5259999999999536,9.17
0,RU,1553921081,81,70.0,135.55,-6.025999999999954,3.17
0,SA,1553918400,44,18.39,42.45,17.0,3.1
80,KI,1553920799,100,3.07,172.79,28.824000000000012,10.22
24,SE,1553921082,63,61.35,16.39,4.574000000000012,2.72
0,CR,1553920329,61,10.15,-85.45,27.0,3.1
0,FR,1553920534,45,45.6,-0.6,9.0,3.6
8,CN,1553921082,49,25.6,100.24,20.274,1.27
75,MA,1553918400,72,34.03,-5.02,15.0,6.2
20,TT,1553920807,88,10.24,-61.45,25.560000000000002,3.6
0,BR,1553921083,78,-23.07,-54.19,21.124000000000024,3.92
0,CN,1553921083,45,42.84,93.51,17.474000000000046,4.82
68,ID,1553920867,86,-3.36,135.5,25.074000000000012,0.97
75,CA,1553918400,92,60.82,-115.79,-1.0,1.5
0,NZ,1553920731,71,-46.28,169.85,17.78000000000003,3.58
64,RU,1553921084,97,50.68,156.12,-1.3759999999999764,8.42
1,US,1553918160,69,60.79,-161.76,6.0,4.6
0,MZ,1553921085,96,-14.56,40.69,27.574000000000012,4.02
90,US,1553920817,76,39.31,-74.98,14.0,3.32
64,PG,1553920749,100,-2.57,150.8,27.924000000000035,1.12
92,NO,1553920802,81,61.99,5.14,6.0,7.7
8,MV,1553920878,100,3.78,72.97,28.974000000000046,2.07
40,BR,1553920692,83,-3.71,-38.6,27.0,1.0
0,SO,1553921086,73,5.35,48.53,29.724000000000046,5.27
48,NZ,1553920806,72,-46.13,167.69,21.110000000000014,2.77
56,BR,1553920787,69,-20.63,-46.0,19.874000000000024,4.22
0,RU,1553921087,60,52.51,99.83,-3.6259999999999764,1.17
90,US,1553921057,93,30.04,-94.42,20.0,3.6
92,RU,1553920819,96,64.42,-173.23,0.37400000000002365,4.67
0,CN,1553921087,69,28.45,117.97,20.174000000000035,1.52
40,US,1553920806,48,36.16,-85.5,17.0,4.1
1,US,1553920854,62,36.85,-75.98,16.110000000000014,1.5
0,PH,1553921088,100,13.32,122.68,27.674000000000035,2.47
40,CN,1553920997,69,22.54,114.05,26.0,3.0
92,PT,1553920840,99,38.52,-28.7,16.024,4.67
0,AR,1553920485,66,-46.43,-67.52,12.474000000000046,4.57
0,TR,1553921089,76,39.34,29.26,-1.4259999999999877,2.67
92,ID,1553921089,92,1.74,98.78,24.324000000000012,1.22
36,PE,1553921089,84,-10.07,-78.15,18.124000000000024,1.32
36,MV,1553920824,100,-0.6,73.08,28.724000000000046,2.07
92,CN,1553921089,90,30.54,105.42,14.874000000000024,3.12
90,CA,1553919240,77,70.47,-68.59,-18.99999999999997,8.2
75,AU,1553920641,66,-42.88,147.33,17.0,8.2
64,RU,1553920787,92,65.58,-170.99,0.924000000000035,9.17
1,US,1553920863,81,36.83,-119.7,14.0,2.1
40,RU,1553918400,80,48.03,40.04,4.0,3.0
90,CL,1553918400,100,-42.48,-73.76,10.0,5.1
0,PF,1553920790,100,-16.48,-151.75,29.124000000000024,2.97
20,ES,1553921037,87,43.27,-7.54,8.330000000000041,2.6
